dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH154_e10	GH154:86	-	-	357	SnigroVPRI43755predictedgene_004618-T1	682	3.2e-171	1	356	28	375	0.994397759104
AA1_e29	AA1:21	-	-	498	SnigroVPRI43755predictedgene_005329-T1	672	1.9e-158	2	498	137	639	0.995983935743
AA1_e22	AA1:24	-	-	492	SnigroVPRI43755predictedgene_006827-T1	1205	3.2e-186	1	491	645	1158	0.99593495935
CE16_e2	CE16:12	-	-	278	SnigroVPRI43755predictedgene_007364-T1	973	1.5e-106	1	278	651	950	0.996402877698
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SpalliCBS13156predictedgene_001023-T1	710	1.7e-20	10	183	155	338	0.414868105516
GT71_e16	GT71:38	-	-	235	SpalliCBS13156predictedgene_001498-T1	591	2.1e-95	1	235	210	444	0.995744680851
GH131_e0	GH131:19	-	-	254	SpalliCBS13156predictedgene_001504-T1	299	1.2e-117	1	254	37	296	0.996062992126
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SpalliCBS13156predictedgene_001992-T1	609	5.2e-177	1	474	61	546	0.997890295359
GH3_e223	GH3:90|CBM1:15|CE16:3	3.2.1.21:16|3.2.1.-:3	beta-glucan, beta-glucan	207	SpalliCBS13156predictedgene_002576-T1	730	1.6e-111	2	207	74	279	0.990338164251
AA4_e1	AA4:19	-	-	525	SpalliCBS13156predictedgene_003761-T1	482	5e-16	38	253	37	245	0.409523809524
GH5_e137	GH5_5:216|CBM1:84|GH5:14|CBM10:2	3.2.1.4:38	beta-glucan	278	SpalliCBS13156predictedgene_008555-T1	340	1.6e-136	1	278	40	318	0.996402877698
AA3_e28	AA3_2:42|AA3:1	-	-	565	SpalliCBS13156predictedgene_009071-T1	560	3.9e-174	202	564	191	554	0.640707964602
GH31_e31	GH31:4050	3.2.1.177:12	xyloglucan	431	SpalliCBS13156predictedgene_009204-T1	790	3.1e-207	1	430	263	703	0.99535962877
CE8_e16	CE8:16|GH28:3	3.1.1.11:3|3.2.1.15:1	pectin	277	SpalliCBS13156predictedgene_009778-T1	380	1.6e-99	4	276	67	356	0.981949458484
GH78_e23	GH78:35|CBM67:1|GH79:1	-	-	518	SpalliCBS13156predictedgene_010261-T1	308	2.7e-107	219	490	25	305	0.523166023166
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	SpalliCBS13156predictedgene_010522-T1	344	4.4e-126	1	288	30	317	0.989655172414
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SphasmCBS119721predictedgene_000660-T1	885	1.5e-105	1	210	99	311	0.995238095238
GH43_e285	GH43_11:2705|GH43:7|GH43_12:2	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1	xylan, xylan, xylan	292	SphasmCBS119721predictedgene_001584-T1	586	1.4e-137	1	292	5	309	0.996575342466
CBM91_e24	CBM91:3225|GH43_11:3213|GH43_12:1|GH43:1	-	xylan	200	SphasmCBS119721predictedgene_001584-T1	586	1.5e-49	8	199	363	576	0.955
GH135_e25	GH135:7	-	-	228	SphasmCBS119721predictedgene_002355-T1	302	5.4e-31	1	169	16	197	0.736842105263
AA9_e5	AA9:14|CBM18:11	-	cellulose	221	SphasmCBS119721predictedgene_002801-T1	398	1.3e-97	3	220	12	230	0.981900452489
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	SphasmCBS119721predictedgene_002891-T1	426	6e-172	1	351	39	391	0.997150997151
GH47_e5	GH47:259	3.2.1.113:7	host glycan	482	SphasmCBS119721predictedgene_004078-T1	646	2.3e-199	1	482	121	617	0.997925311203
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	SphasmCBS119721predictedgene_004242-T1	341	5e-137	1	309	4	335	0.993548387097
GH55_e8	GH55:191|CBM50:9|CBM66:1	3.2.1.58:16	beta-glucan	748	SphasmCBS119721predictedgene_004539-T1	780	0	4	748	21	779	0.994652406417
GH92_e35	GH92:160	-	-	510	SphasmCBS119721predictedgene_004542-T1	890	4e-235	1	509	325	871	0.996078431373
GH76_e44	GH76:127	3.2.1.101:2	alpha-mannan	363	SphasmCBS119721predictedgene_006537-T1	459	3.5e-176	1	359	30	397	0.986225895317
GH47_e16	GH47:103	3.2.1.113:12	host glycan	465	SphasmCBS119721predictedgene_006550-T1	531	9.1e-218	1	464	48	525	0.995698924731
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SphasmCBS119721predictedgene_006728-T1	1005	1.5e-107	2	210	181	394	0.990476190476
GT61_e19	GT61:14	-	-	120	SphasmCBS119721predictedgene_007081-T1	619	1.1e-32	1	116	358	491	0.958333333333
GH16_e200	GH16_18:28	-	-	156	SproteCBS116654predictedgene_001649-T1	380	1.4e-71	1	156	70	226	0.99358974359
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	SproteCBS116654predictedgene_002114-T1	1031	1.4e-125	2	351	77	421	0.994301994302
GH125_e2	GH125:180	-	-	423	SproteCBS116654predictedgene_007496-T1	544	4.2e-131	1	333	79	416	0.784869976359
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SproteCBS116654predictedgene_007510-T1	815	5e-66	76	214	104	244	0.644859813084
GH18_e82	GH18:18	3.2.1.96:4	host glycan	216	SpseudVPRI43531predictedgene_003116-T1	423	5.4e-91	1	215	80	307	0.990740740741
GH125_e2	GH125:180	-	-	423	SpseudVPRI43531predictedgene_003190-T1	621	6.9e-58	1	153	97	276	0.359338061466
GH125_e2	GH125:180	-	-	423	SpseudVPRI43531predictedgene_003190-T1	621	1.5e-113	144	423	294	607	0.659574468085
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SpseudVPRI43531predictedgene_003465-T1	604	9.2e-177	1	474	56	541	0.997890295359
GT90_e11	GT90:72	-	-	290	SpseudVPRI43531predictedgene_004590-T1	701	2.6e-119	1	290	356	687	0.996551724138
GH88_e4	GH88:37	-	-	401	SpseudVPRI43531predictedgene_004787-T1	512	6.6e-159	1	401	103	503	0.997506234414
GH5_e56	GH5_24:29	-	-	314	Sschen1099predictedgene_000375-T1	428	1.5e-169	1	312	77	391	0.990445859873
CE8_e105	CE8:21	3.1.1.11:8	pectin	281	Sschen1099predictedgene_001018-T1	326	2.6e-123	2	280	29	304	0.989323843416
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	Sschen1099predictedgene_001703-T1	349	2.1e-147	1	288	30	320	0.989655172414
GH131_e0	GH131:19	-	-	254	Sschen1099predictedgene_002937-T1	298	3.1e-118	1	254	36	295	0.996062992126
GH28_e58	GH28:220	3.2.1.67:7|3.2.1.-:2	pectin, pectin	352	Sschen1099predictedgene_004286-T1	461	2e-148	1	350	89	445	0.991477272727
CBM67_e14	CBM67:7|GH78:7	-	rhamnose	186	Sschen1099predictedgene_006979-T1	558	5.9e-32	2	127	17	161	0.672043010753
GH78_e23	GH78:35|CBM67:1|GH79:1	-	-	518	Sschen1099predictedgene_006979-T1	558	3.9e-121	2	286	251	541	0.548262548263
GH2_e61	GH2:894|CBM67:5|GH43_34:1|GH42:1	3.2.1.23:12	beta-galactan	827	Sschen1099predictedgene_007338-T1	1097	1.3e-283	23	824	44	971	0.968561064087
GH106_e25	GH106:5	-	-	930	Sschen1099predictedgene_007618-T1	911	1.9e-244	95	930	2	859	0.897849462366
CE5_e24	CE5:51|CBM1:13	3.1.1.72:4	xylan	208	SvarieCBS121961predictedgene_003307-T1	226	3.1e-92	1	207	28	225	0.990384615385
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SvarieCBS121961predictedgene_004589-T1	660	8.6e-165	1	473	103	618	0.995780590717
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SvarieCBS121961predictedgene_007129-T1	468	1.3e-205	2	442	28	466	0.995475113122
AA3_e28	AA3_2:42|AA3:1	-	-	565	SvarieCBS121961predictedgene_007668-T1	578	2e-285	1	564	8	572	0.996460176991
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SvarieCBS121961predictedgene_008549-T1	870	1.8e-109	1	214	36	251	0.995327102804
GT69_e0	GT69:44	-	-	243	SvarieCBS121961predictedgene_008847-T1	431	2e-114	1	243	112	354	0.995884773663
GT61_e19	GT61:14	-	-	120	SvarieCBS121961predictedgene_009396-T1	545	1.8e-40	1	117	325	446	0.966666666667
GH5_e56	GH5_24:29	-	-	314	SBRCBS47491_000004-T1	426	8.7e-173	1	312	77	389	0.990445859873
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SBRCBS47491_002505-T1	480	1.9e-196	2	442	33	478	0.995475113122
GH131_e4	GH131:11	-	-	258	SBRCBS47491_002913-T1	289	4.2e-124	1	258	26	285	0.996124031008
GH106_e15	GH106:19|GT2:1	-	-	933	SBRCBS47491_003494-T1	1419	6.2e-259	1	932	402	1359	0.997856377278
GH18_e107	GH18:17	-	-	321	SBRCBS47491_003698-T1	367	1.8e-102	1	318	10	350	0.98753894081
CBM67_e14	CBM67:7|GH78:7	-	rhamnose	186	SBRCBS47491_004780-T1	822	4.3e-28	34	119	70	154	0.456989247312
GH78_e23	GH78:35|CBM67:1|GH79:1	-	-	518	SBRCBS47491_004780-T1	822	2.9e-229	2	512	243	759	0.984555984556
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SBRCBS47491_006286-T1	668	1.8e-26	10	182	200	378	0.412470023981
GT31_e37	GT31:25	-	-	54	SBRCBS47491_008991-T1	456	2.6e-25	1	54	183	236	0.981481481481
CE4_e306	CE4:9	-	-	103	SBRCBS47491_009071-T1	548	6.1e-18	1	102	284	388	0.980582524272
GH3_e223	GH3:90|CBM1:15|CE16:3	3.2.1.21:16|3.2.1.-:3	beta-glucan, beta-glucan	207	SCUCBS95973_000826-T1	1259	3e-109	2	207	72	277	0.990338164251
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SCUCBS95973_001165-T1	481	2.2e-199	2	442	28	478	0.995475113122
GH47_e5	GH47:259	3.2.1.113:7	host glycan	482	SCUCBS95973_002041-T1	663	1.8e-200	1	482	125	626	0.997925311203
GH5_e137	GH5_5:216|CBM1:84|GH5:14|CBM10:2	3.2.1.4:38	beta-glucan	278	SCUCBS95973_006003-T1	341	8.8e-135	2	278	42	319	0.992805755396
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SCUCBS95973_006689-T1	871	1.9e-111	1	214	35	248	0.995327102804
GT71_e16	GT71:38	-	-	235	SCUCBS95973_006701-T1	599	8.6e-92	1	235	227	462	0.995744680851
GH92_e35	GH92:160	-	-	510	SCUCBS95973_008737-T1	925	2.5e-231	1	510	334	888	0.998039215686
GH31_e31	GH31:4050	3.2.1.177:12	xyloglucan	431	SCUCBS95973_008940-T1	806	5.6e-203	1	430	268	710	0.99535962877
GH135_e26	GH135:5	-	-	229	SEUCBS139899_000592-T1	308	1.3e-30	1	167	21	204	0.724890829694
GH125_e2	GH125:180	-	-	423	SEUCBS139899_003538-T1	535	1.7e-185	1	423	79	520	0.997635933806
CBM67_e14	CBM67:7|GH78:7	-	rhamnose	186	SEUCBS139899_005815-T1	876	5e-33	32	164	74	209	0.709677419355
GH78_e23	GH78:35|CBM67:1|GH79:1	-	-	518	SEUCBS139899_005815-T1	876	7e-231	2	512	291	804	0.984555984556
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	SEUCBS139899_006558-T1	342	1.4e-140	1	309	5	336	0.993548387097
GH18_e82	GH18:18	3.2.1.96:4	host glycan	216	SEUCBS139899_008362-T1	392	1.3e-93	1	215	48	279	0.990740740741
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	SEUCBS139899_008889-T1	348	1.3e-129	2	288	34	321	0.986206896552
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SEUCBS139899_009516-T1	865	2.9e-105	1	214	47	260	0.995327102804
GT61_e19	GT61:14	-	-	120	SEUCBS139899_009935-T1	487	1e-41	1	117	252	374	0.966666666667
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SEUCBS139899_010069-T1	487	5.7e-180	2	442	41	480	0.995475113122
CE4_e210	CE4:182	-	-	108	SEUCBS139899_010110-T1	529	9.3e-16	1	107	258	366	0.981481481481
GH88_e4	GH88:37	-	-	401	SEUCBS139899_010477-T1	495	3.4e-159	1	401	93	486	0.997506234414
GT90_e11	GT90:72	-	-	290	SEUCBS140593_002083-T1	672	2.7e-122	1	290	339	633	0.996551724138
GH125_e2	GH125:180	-	-	423	SEUCBS140593_003753-T1	1210	1.8e-174	1	423	708	1196	0.997635933806
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SEUCBS140593_004400-T1	760	1.8e-17	10	186	174	361	0.42206235012
CE5_e11	CE5:7	-	-	193	SEUCBS140593_004464-T1	302	1.6e-53	16	192	53	245	0.911917098446
AA3_e28	AA3_2:42|AA3:1	-	-	565	SEUCBS140593_010155-T1	578	2.6e-289	1	565	9	573	0.998230088496
GH28_e58	GH28:220	3.2.1.67:7|3.2.1.-:2	pectin, pectin	352	STHCBS139747_003183-T1	442	6.3e-159	1	350	77	426	0.991477272727
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	STHCBS139747_003273-T1	669	2.3e-24	10	181	201	378	0.410071942446
GH2_e61	GH2:894|CBM67:5|GH43_34:1|GH42:1	3.2.1.23:12	beta-galactan	827	STHCBS139747_004335-T1	1109	7.5e-273	23	823	44	977	0.967351874244
CBM67_e14	CBM67:7|GH78:7	-	rhamnose	186	STHCBS139747_007496-T1	895	8.7e-29	33	119	77	162	0.462365591398
GH78_e23	GH78:35|CBM67:1|GH79:1	-	-	518	STHCBS139747_007496-T1	895	1.9e-179	2	418	251	673	0.803088803089
GH3_e116	GH3:66	3.2.1.21:2	beta-glucan	213	Sbrasi5110predictedgene_000439-T1	901	1.5e-111	2	212	96	306	0.985915492958
CE5_e24	CE5:51|CBM1:13	3.1.1.72:4	xylan	208	Sbrasi5110predictedgene_001930-T1	229	3.8e-73	1	207	27	227	0.990384615385
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	Sbrasi5110predictedgene_002051-T1	675	1.7e-163	1	473	110	633	0.995780590717
AA1_e29	AA1:21	-	-	498	Sbrasi5110predictedgene_002504-T1	678	1.4e-161	2	498	152	643	0.995983935743
GH28_e58	GH28:220	3.2.1.67:7|3.2.1.-:2	pectin, pectin	352	Sbrasi5110predictedgene_002875-T1	459	3.3e-149	1	350	88	443	0.991477272727
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	Sbrasi5110predictedgene_002977-T1	349	4.5e-147	1	288	30	320	0.989655172414
AA1_e22	AA1:24	-	-	492	Sbrasi5110predictedgene_003498-T1	778	6.2e-184	1	491	212	733	0.99593495935
GH154_e10	GH154:86	-	-	357	Sbrasi5110predictedgene_004889-T1	724	3.1e-155	1	357	15	405	0.997198879552
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	Sbrasi5110predictedgene_006691-T1	479	5.2e-139	1	417	41	476	0.997601918465
GT69_e0	GT69:44	-	-	243	Sbrasi5110predictedgene_006948-T1	432	1.9e-111	1	243	114	356	0.995884773663
GT61_e19	GT61:14	-	-	120	Sbrasi5110predictedgene_007652-T1	559	8.6e-43	1	117	339	460	0.966666666667
AA2_e12	AA2:15	-	-	241	Sbrasi5110predictedgene_007687-T1	521	3.3e-98	2	241	272	508	0.991701244813
GH2_e61	GH2:894|CBM67:5|GH43_34:1|GH42:1	3.2.1.23:12	beta-galactan	827	Sbrasi5110predictedgene_008254-T1	1100	2.8e-283	23	824	44	973	0.968561064087
GH154_e10	GH154:86	-	-	357	Sbrasi5110predictedgene_008400-T1	678	2.2e-170	1	356	26	373	0.994397759104
CE16_e2	CE16:12	-	-	278	Sbrasi5110predictedgene_008650-T1	383	4.4e-105	1	278	57	361	0.996402877698
AA9_e5	AA9:14|CBM18:11	-	cellulose	221	SdimorCBS55374predictedgene_000185-T1	377	3.5e-97	2	220	11	230	0.986425339367
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SdimorCBS55374predictedgene_002033-T1	609	1.3e-172	1	474	60	546	0.997890295359
GH43_e285	GH43_11:2705|GH43:7|GH43_12:2	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1	xylan, xylan, xylan	292	SdimorCBS55374predictedgene_002044-T1	586	6.3e-139	1	292	5	309	0.996575342466
CBM91_e24	CBM91:3225|GH43_11:3213|GH43_12:1|GH43:1	-	xylan	200	SdimorCBS55374predictedgene_002044-T1	586	2.2e-52	7	199	362	576	0.96
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SdimorCBS55374predictedgene_002297-T1	771	5.8e-93	27	210	2	188	0.871428571429
GH76_e44	GH76:127	3.2.1.101:2	alpha-mannan	363	SdimorCBS55374predictedgene_003867-T1	460	2.7e-177	1	359	30	398	0.986225895317
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	SdimorCBS55374predictedgene_004106-T1	457	1.1e-125	2	351	77	422	0.994301994302
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	SdimorCBS55374predictedgene_005185-T1	428	1.8e-172	1	351	42	394	0.997150997151
AA3_e28	AA3_2:42|AA3:1	-	-	565	SdimorCBS55374predictedgene_005360-T1	579	6.4e-292	1	565	9	573	0.998230088496
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SdimorCBS55374predictedgene_006164-T1	756	7.4e-18	10	189	176	366	0.429256594724
CE8_e16	CE8:16|GH28:3	3.1.1.11:3|3.2.1.15:1	pectin	277	SdimorCBS55374predictedgene_006712-T1	610	1.4e-105	78	276	1	201	0.714801444043
GH28_e56	GH28:441|CE8:3	3.2.1.15:14|3.1.1.11:1	pectin	322	SdimorCBS55374predictedgene_006712-T1	610	2.6e-139	1	284	316	599	0.878881987578
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SdimorCBS55374predictedgene_006716-T1	480	5.1e-194	2	442	33	478	0.995475113122
GH55_e8	GH55:191|CBM50:9|CBM66:1	3.2.1.58:16	beta-glucan	748	SdimorCBS55374predictedgene_007059-T1	782	0	5	748	23	780	0.993315508021
GH16_e200	GH16_18:28	-	-	156	SdimorCBS55374predictedgene_008039-T1	368	1.4e-71	1	156	70	226	0.99358974359
CE5_e11	CE5:7	-	-	193	SdimorCBS55374predictedgene_008540-T1	299	2e-52	16	191	55	246	0.906735751295
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SdimorCBS55374predictedgene_008631-T1	1037	2.4e-108	2	210	179	392	0.990476190476
GH47_e16	GH47:103	3.2.1.113:12	host glycan	465	SdimorCBS55374predictedgene_008746-T1	531	6.4e-220	1	464	50	525	0.995698924731
GH131_e4	GH131:11	-	-	258	SdimorCBS55374predictedgene_009229-T1	317	1.1e-102	60	258	113	313	0.767441860465
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SeuskaVPRI43754predictedgene_001301-T1	480	6.9e-195	2	442	33	478	0.995475113122
GH28_e58	GH28:220	3.2.1.67:7|3.2.1.-:2	pectin, pectin	352	SeuskaVPRI43754predictedgene_002449-T1	443	2.1e-158	1	351	78	428	0.994318181818
CE8_e105	CE8:21	3.1.1.11:8	pectin	281	SeuskaVPRI43754predictedgene_003197-T1	291	3.7e-132	12	280	3	269	0.953736654804
GT31_e37	GT31:25	-	-	54	SeuskaVPRI43754predictedgene_003470-T1	515	9.2e-24	1	54	191	244	0.981481481481
GH18_e107	GH18:17	-	-	321	SeuskaVPRI43754predictedgene_004791-T1	360	5.9e-103	1	319	10	342	0.990654205607
GH106_e15	GH106:19|GT2:1	-	-	933	SeuskaVPRI43754predictedgene_007532-T1	1043	3.5e-258	1	930	50	984	0.995712754555
GH5_e56	GH5_24:29	-	-	314	SeuskaVPRI43754predictedgene_008383-T1	428	3.2e-169	1	313	77	392	0.993630573248
GH3_e116	GH3:66	3.2.1.21:2	beta-glucan	213	SgloboCBS120340predictedgene_000448-T1	825	4.8e-111	2	212	20	230	0.985915492958
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SgloboCBS120340predictedgene_001360-T1	608	1e-173	1	474	60	545	0.997890295359
AA2_e12	AA2:15	-	-	241	SgloboCBS120340predictedgene_001893-T1	489	8.7e-98	3	241	241	476	0.98755186722
GH2_e61	GH2:894|CBM67:5|GH43_34:1|GH42:1	3.2.1.23:12	beta-galactan	827	SgloboCBS120340predictedgene_002042-T1	1097	1.4e-278	23	824	44	971	0.968561064087
CE16_e2	CE16:12	-	-	278	SgloboCBS120340predictedgene_002365-T1	383	1.3e-105	1	278	57	361	0.996402877698
GH154_e10	GH154:86	-	-	357	SgloboCBS120340predictedgene_002956-T1	724	3.9e-155	1	357	15	405	0.997198879552
AA1_e22	AA1:24	-	-	492	SgloboCBS120340predictedgene_003708-T1	771	9.9e-188	1	491	212	726	0.99593495935
AA4_e1	AA4:19	-	-	525	SgloboCBS120340predictedgene_003914-T1	480	7.9e-16	37	253	36	245	0.411428571429
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SgloboCBS120340predictedgene_004045-T1	670	8.5e-25	10	181	202	379	0.410071942446
GH154_e10	GH154:86	-	-	357	SgloboCBS120340predictedgene_004381-T1	679	6.7e-170	1	356	26	373	0.994397759104
AA1_e29	AA1:21	-	-	498	SgloboCBS120340predictedgene_004987-T1	677	2.9e-165	2	498	152	642	0.995983935743
GH131_e4	GH131:11	-	-	258	SgloboCBS120340predictedgene_005142-T1	288	1.1e-126	1	258	26	284	0.996124031008
CE5_e24	CE5:51|CBM1:13	3.1.1.72:4	xylan	208	SgloboCBS120340predictedgene_005576-T1	251	1.8e-73	1	207	49	249	0.990384615385
GT69_e0	GT69:44	-	-	243	SgloboCBS120340predictedgene_006653-T1	432	4.8e-113	1	243	115	357	0.995884773663
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SgloboCBS120340predictedgene_007535-T1	479	7.2e-140	1	417	41	476	0.997601918465
GT61_e19	GT61:14	-	-	120	SgloboCBS120340predictedgene_007689-T1	522	2.3e-40	1	116	334	449	0.958333333333
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SgloboCBS120340predictedgene_007734-T1	871	1.1e-108	1	214	35	249	0.995327102804
GH3_e223	GH3:90|CBM1:15|CE16:3	3.2.1.21:16|3.2.1.-:3	beta-glucan, beta-glucan	207	ShumicCBS118129predictedgene_001586-T1	730	1.9e-111	2	207	74	279	0.990338164251
GT71_e16	GT71:38	-	-	235	ShumicCBS118129predictedgene_002654-T1	601	2.2e-95	1	235	220	454	0.995744680851
GH47_e5	GH47:259	3.2.1.113:7	host glycan	482	ShumicCBS118129predictedgene_002997-T1	648	1.2e-200	1	482	121	615	0.997925311203
GH31_e31	GH31:4050	3.2.1.177:12	xyloglucan	431	ShumicCBS118129predictedgene_004159-T1	790	1.2e-205	1	430	263	703	0.99535962877
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	ShumicCBS118129predictedgene_005249-T1	490	1.1e-180	2	442	44	483	0.995475113122
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	ShumicCBS118129predictedgene_007718-T1	344	4.4e-126	1	288	30	317	0.989655172414
CE8_e105	CE8:21	3.1.1.11:8	pectin	281	ShumicCBS118129predictedgene_007823-T1	327	1.1e-132	2	280	29	305	0.989323843416
GH92_e35	GH92:160	-	-	510	ShumicCBS118129predictedgene_007982-T1	1194	1.5e-233	1	509	327	876	0.996078431373
GH5_e137	GH5_5:216|CBM1:84|GH5:14|CBM10:2	3.2.1.4:38	beta-glucan	278	ShumicCBS118129predictedgene_008875-T1	338	3.3e-137	1	278	38	316	0.996402877698
CBM67_e14	CBM67:7|GH78:7	-	rhamnose	186	ShumicCBS118129predictedgene_009126-T1	897	7.9e-33	2	160	17	196	0.849462365591
GH78_e23	GH78:35|CBM67:1|GH79:1	-	-	518	ShumicCBS118129predictedgene_009126-T1	897	4.5e-227	11	513	301	801	0.969111969112
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	ShumicCBS118129predictedgene_009204-T1	670	5.4e-166	1	473	113	628	0.995780590717
CE5_e49	CE5:6	-	-	192	ShumicCBS118129predictedgene_010234-T1	331	3.7e-47	2	191	46	272	0.984375
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SinflaCBS23968predictedgene_000179-T1	879	4.5e-107	1	210	105	317	0.995238095238
GH76_e44	GH76:127	3.2.1.101:2	alpha-mannan	363	SinflaCBS23968predictedgene_001465-T1	460	1.7e-177	1	359	30	398	0.986225895317
GH43_e285	GH43_11:2705|GH43:7|GH43_12:2	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1	xylan, xylan, xylan	292	SinflaCBS23968predictedgene_003918-T1	586	4.4e-139	1	292	5	309	0.996575342466
CBM91_e24	CBM91:3225|GH43_11:3213|GH43_12:1|GH43:1	-	xylan	200	SinflaCBS23968predictedgene_003918-T1	586	4.9e-53	7	199	362	576	0.96
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SinflaCBS23968predictedgene_004396-T1	991	2.7e-108	2	210	179	392	0.990476190476
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SinflaCBS23968predictedgene_004841-T1	729	5.7e-18	10	192	158	351	0.436450839329
GH47_e16	GH47:103	3.2.1.113:12	host glycan	465	SinflaCBS23968predictedgene_004912-T1	532	3.3e-220	1	464	52	527	0.995698924731
GH16_e200	GH16_18:28	-	-	156	SinflaCBS23968predictedgene_005018-T1	373	5.9e-72	1	156	70	226	0.99358974359
GH55_e8	GH55:191|CBM50:9|CBM66:1	3.2.1.58:16	beta-glucan	748	SinflaCBS23968predictedgene_006570-T1	780	0	5	748	22	778	0.993315508021
AA9_e5	AA9:14|CBM18:11	-	cellulose	221	SinflaCBS23968predictedgene_007319-T1	378	6.9e-97	2	220	11	230	0.986425339367
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SinflaCBS23968predictedgene_007713-T1	476	4.7e-205	2	442	35	473	0.995475113122
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	SinflaCBS23968predictedgene_009522-T1	427	1.2e-172	1	351	41	393	0.997150997151
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	SinflaCBS23968predictedgene_010016-T1	457	1.1e-127	2	351	77	422	0.994301994302
AA3_e28	AA3_2:42|AA3:1	-	-	565	SinflaCBS23968predictedgene_010169-T1	578	3.8e-283	1	564	8	572	0.996460176991
